"V1","V2"
"Ccl5","Ifitm3"
"Ddt","Pts"
"Cdc73","Bub3"
"Adap1","Gusb"
"Sqstm1","Cpeb4"
"Rps20","Chmp1a"
"Robld3","Il16"
"Lyz2","Asph"
"Ifi47","Rsad2"
"Dnaja1","Zbtb7a"
"Ddx24","Sash1"
"Cwc27","Ncln"
"Cd40","Dtx3l"
"Qk","Sumo1"
"Myl6","Anpep"
"Cd38","Actn1"
"Sh3pxd2b","Brap"
"Sqstm1","Itga5"
"Il1a","Cd40"
"Car2","Hist2h2bb"
"Gbp3","Itga5"
"Itgax","Pld3"
"Pdlim5","Rnf20"
"Prkar1a","Dnaja2"
"Sqstm1","Oasl1"
"Dnajc13","Apip"
"Wdr18","N4bp1"
"Zc3h4","Tfrc"
"Mta1","Mrpl46"
"Pdlim2","Galns"
"Slfn5","Znfx1"
"Lrch3","Arhgef2"
"6-Sep","Mcm3"
"Mta1","Mpo"
"Nub1","Aoah"
"AK043984","Pten"
"Ttc37","Fam62b"
"Rnf213","Clic4"
"Cd38","Snord96a"
"1110005A23Rik","Exoc4"
"Sqstm1","Oasl1"
"Saa3","Lgals9"
"Bag3","Os9"
"Cpeb4","Rnf213"
"Nln","Atp2a3"
"Sun2","Itgb2"
"Ifi205","Rnf213"
"Sep8","Adap1"
"Pyhin1","Dhx58"
"Frmd8","Plod1"
"Tmed10","Tmem43"
"BC002288","C1qb"
"Psmb10","Eif2ak2"
"Ifi205","Irgm1"
"Opa1","Spr"
"Slfn5","Irgm1"
"Ifi47","Irgm1"
"Rnf213","Sp100"
"Ifit1","Filip1l"
"Anxa1","Ddx17"
"Pyhin1","Ddx58"
"Rfc1","BC005561"
"Clec4d","Ifih1"
"Fam129b","Rps13"
"Gbp3","Oasl1"
"AK008288","Dnaja1"
"Sqstm1","Nrp2"
"Mrpl53","Mark2"
"Iqgap1","Hmgn5"
"Smpdl3b","Fmnl3"
"Celf2","Gpnmb"
"Pi4ka","BC051062"
"Opa1","Ttc37"
"Slfn5","Pyhin1"
"Smarcc2","H2afy"
"Supt6h","Skap2"
"Vbp1","Def6"
"Il1b","Parp14"
"Rfc2","Kpna4"
"Xaf1","Slc7a2"
"Ehd1","Arhgef2"
"AK008288","Zbtb7a"
"Pdxk","Cpped1"
"Ccl5","Rnf213"
"Tcea1","Hck"
"Sqstm1","Parp14"
"1810074P20Rik","Cul2"
"Bst2","Ifit2"
"Serpinb2","Mir147"
"Nfam1","Zdhhc13"
"Hdlbp","Sec16a"
"Bst2","Ifit3"
"Arf1","Ipo4"
"Irgm1","Gbp2"
"Rnf213","Cfb"
"Xaf1","Oasl1"
"Toe1","Aifm2"
"Gbp5","Oas1g"
"Parp14","Cmpk2"
"Pcna","Zfp622"
"Rplp1","Osbpl1a"
"Rbpms","mKIAA0136"
"Prkar1a","Ehd1"
"Lsm5","Rin3"
"Gbp5","Ccl5"
"Ddi2","Cux1"
"Cux1","Ttll12"
"Irgm1","Rsad2"
"Xaf1","Cd40"
"Atp1b3","Gsr"
"Parp14","Cyp4v3"
"Igf2bp3","Ftsj3"
"BC002288","Irgm1"
"Gstm7","Sec61b"
"Pyhin1","Xaf1"
"Rnf213","Znfx1"
"Rpia","Tmem43"
"Xaf1","Parp9"
"AK188353","Mrps23"
"Pola2","Surf6"
"Idh3g","Spnb2"
"Cops8","Snap23"
"Ifi205","Ifitm3"
"Slc2a6","AK188353"
"Lrpap1","2010106G01Rik"
"Parp14","Trafd1"
"Arf5","Eif3m"
"Akap8","Ragd"
"Acsl1","Fpr2"
"Gbp5","Gbp3"
"Ube2l3","Eif3m"
"BC002288","Filip1l"
"Prrc1","Mfge8"
"Ifi205","Cpeb4"
"Tmed9","Cpped1"
"Ddx5","Irf2bp2"
"Ngp","Ltf"
"Bst2","Oasl1"
"Stat2","Hck"
"Ccl5","Oasl1"
"Cmpk2","Znfx1"
"Srsf4","KIAA0143"
"Cd40","Igtp"
"Glg1","Gsr"
"Zzef1","Mapre1"
"Actr10","Csnk2a2"
"Irg1","Parp14"
"AK008288","Mcmbp"
